Country,ISO3 Code,Date,Price (EUR/MWhe)
Sweden,SWE,01/03/2016,21.74
Switzerland,CHE,01/03/2016,29.21
Austria,AUT,01/04/2016,24.21
Belgium,BEL,01/04/2016,25.43
Czechia,CZE,01/04/2016,24.7
Denmark,DNK,01/04/2016,22.07
Estonia,EST,01/04/2016,29.73
Finland,FIN,01/04/2016,27.25
France,FRA,01/04/2016,25.48
Germany,DEU,01/04/2016,24.21
Greece,GRC,01/04/2016,38.98
Hungary,HUN,01/04/2016,29.17
Italy,ITA,01/04/2016,31.88
Latvia,LVA,01/04/2016,30.71
Lithuania,LTU,01/04/2016,33.04
Luxembourg,LUX,01/04/2016,24.21
Netherlands,NLD,01/04/2016,25.32
Norway,NOR,01/04/2016,21.84
Poland,POL,01/04/2016,35.87
Portugal,PRT,01/04/2016,23.48
Romania,ROU,01/04/2016,28.93
Slovakia,SVK,01/04/2016,25.83
Slovenia,SVN,01/04/2016,28.35
Spain,ESP,01/04/2016,24.09
Sweden,SWE,01/04/2016,22.09
Switzerland,CHE,01/04/2016,25.23
Austria,AUT,01/05/2016,22.55
Belgium,BEL,01/05/2016,25.38
Czechia,CZE,01/05/2016,24.36
Denmark,DNK,01/05/2016,23.81
Estonia,EST,01/05/2016,28.26
Finland,FIN,01/05/2016,28.07
France,FRA,01/05/2016,24.28
Germany,DEU,01/05/2016,22.55
Greece,GRC,01/05/2016,41.29
Hungary,HUN,01/05/2016,27.17
Italy,ITA,01/05/2016,34.31
Latvia,LVA,01/05/2016,32.68
Lithuania,LTU,01/05/2016,32.87
Luxembourg,LUX,01/05/2016,22.55
Netherlands,NLD,01/05/2016,27.2
Norway,NOR,01/05/2016,22.75
Poland,POL,01/05/2016,34.84
Portugal,PRT,01/05/2016,24.98
Romania,ROU,01/05/2016,26.88
Slovakia,SVK,01/05/2016,25.16
Slovenia,SVN,01/05/2016,26.55
Spain,ESP,01/05/2016,25.81
Sweden,SWE,01/05/2016,23.68
Switzerland,CHE,01/05/2016,23.69
Austria,AUT,01/06/2016,27.7
Belgium,BEL,01/06/2016,30.7
